department,gender,count
Accounting,Male,1417
Accounting,Female,1211
Accounting,Non-Conforming,75
Auditing,Female,20
Auditing,Male,19
"Business Development",Male,695
"Business Development",Female,603
"Business Development",Non-Conforming,42
Engineering,Male,2748
Engineering,Female,2505
Engineering,Non-Conforming,155
"Human Resources",Female,695
"Human Resources",Male,744
"Human Resources",Non-Conforming,38
Legal,Male,127
Legal,Female,111
Legal,Non-Conforming,7
Marketing,Male,205
Marketing,Female,206
Marketing,Non-Conforming,5
"Product Management",Male,279
"Product Management",Female,229
"Product Management",Non-Conforming,13
"Research and Development",Female,414
"Research and Development",Male,418
"Research and Development",Non-Conforming,27
Sales,Male,759
Sales,Female,677
Sales,Non-Conforming,37
Services,Female,664
Services,Male,686
Services,Non-Conforming,29
Support,Male,389
Support,Non-Conforming,27
Support,Female,347
Training,Non-Conforming,37
Training,Male,711
Training,Female,631
