year,hires,terminations,net_change,net_change_percent
2000,216,31,185,85.65
2001,1104,199,905,81.97
2002,1048,168,880,83.97
2003,1129,201,928,82.20
2004,1119,201,918,82.04
2005,1082,191,891,82.35
2006,1095,189,906,82.74
2007,1072,156,916,85.45
2008,1093,149,944,86.37
2009,1125,158,967,85.96
2010,1084,143,941,86.81
2011,1076,123,953,88.57
2012,1091,121,970,88.91
2013,1087,104,983,90.43
2014,1035,96,939,90.72
2015,1037,92,945,91.13
2016,1103,75,1028,93.20
2017,1080,65,1015,93.98
2018,1124,57,1067,94.93
2019,1068,57,1011,94.66
2020,988,39,949,96.05
